item_id,title,price,price_text,first_price,location,source,score,reasons,posted_at,posted_text,opdb_id,opdb_name,opdb_manufacturer,opdb_year,opdb_type,url,pinside_url,image_url,search_name,first_seen,last_seen
pinside-221940,Jaws (Pro),,,,"Oklahoma City, OK",pinside,-5,-5 no pinball reference,2026-09-26,"Machine - For Sale Oklahoma City, OK",GLWll-MXr4N,JAWS (Pro),Stern,2024,ss,https://pinside.com/pinball/market/classifieds/ad/221940,https://pinside.com/pinball/machine?query=Jaws+%28Pro%29,,Pinside Classifieds,2026-09-26T18:01:08+00:00,2026-09-26T18:01:08+00:00
pinside-221929,Rare Raiden Godzilla toper,,,,"Baytown, TX",pinside,-5,-5 no pinball reference,2026-09-26,"Mod - For Sale Baytown, TX",G5po2-MeP6B,Godzilla,Sega,1998,ss,https://pinside.com/pinball/market/classifieds/ad/221929,https://pinside.com/pinball/machine?query=Rare+Raiden+Godzilla+toper,,Pinside Classifieds,2026-09-26T18:01:08+00:00,2026-09-26T18:01:08+00:00
pinside-214270,Rush (Premium),,,,"Little Rock, AR",pinside,-5,-5 no pinball reference,2026-09-26,"Machine - For Sale Little Rock, AR",G2Lkd-M0ope-A9dNy,Rush (Premium),Stern,2022,ss,https://pinside.com/pinball/market/classifieds/ad/214270,https://pinside.com/pinball/machine?query=Rush+%28Premium%29,,Pinside Classifieds,2026-09-26T18:01:08+00:00,2026-09-26T18:01:08+00:00
1082748044145735,Stern Jaws Pro Pinball HUO,6000,"$6,000",6000,"Oklahoma City, OK",facebook,7,+3 brand:stern; +1 mentions pinball; +3 price >= $800,2026-09-25,Listed 3 hours ago,GLWll-MXr4N,JAWS (Pro),Stern,2024,ss,https://www.facebook.com/marketplace/item/1082748044145735/,https://pinside.com/pinball/machine?query=Stern+Jaws+Pro+Pinball+HUO,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/825598798_1350536400240807_7987761201263482031_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=Lk2UGHVRxHUQ7kNvwFTAQPD&_nc_oc=AdrPBRUXUPbOfb2AnBNwSLzOxIZrBKPnC7EXvFz7lLMWUL0Ji_0vm2DJiFK38LXwK3Q&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=zwIJF3geqsZSk6D_DM0i2A&_nc_ss=7b2a8&oh=00_AQKtOMOkJQqH22tU1yFLriIfyTJl9rCkEP7qLbhnqpLd_g&oe=6ABCAD87,Fort Smith pinball,2026-09-25T19:34:40+00:00,2026-09-25T19:34:40+00:00
2618161088642148,Star Wars Pinball,1000,"$1,000",1000,"Missouri City, TX",facebook,4,+1 mentions pinball; +3 price >= $800,2026-09-25,Listed 2 hours ago,G420r-MLedz,Star Wars,Data East,1992,ss,https://www.facebook.com/marketplace/item/2618161088642148/,https://pinside.com/pinball/machine?query=Star+Wars+Pinball,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/820097664_1058761123610081_9174704044640767445_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=WtpYNxsy2IgQ7kNvwHYgUJZ&_nc_oc=Ado9jZFujbOPJMCLG4iJAWOI_nTGUn4Dn38DPBeIgQbZ0gtRP5hgjzYfl88_YLDLm_Q&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=XOAdJKNDaNuAmgYc3t-6jw&_nc_ss=7b2a8&oh=00_AQIZI89agtdktAz8G_Gp6bkV7pgYJeDMK4qcxAuPIi-zWQ&oe=6ABCB296,Fort Worth pinball,2026-09-25T19:34:40+00:00,2026-09-25T19:34:40+00:00
1750290079526207,Star Wars Limited edition pinball game,9500,"$9,500",9500,"Cypress, TX",facebook,4,+1 mentions pinball; +3 price >= $800,2026-09-25,Listed 3 hours ago,G420r-MLedz,Star Wars,Data East,1992,ss,https://www.facebook.com/marketplace/item/1750290079526207/,https://pinside.com/pinball/machine?query=Star+Wars+Limited+edition+pinball+game,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/825268153_1425794106160941_2191012109415010021_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=103&ccb=1-7&_nc_sid=92e707&_nc_ohc=Mjt72haKnmkQ7kNvwGGG5sD&_nc_oc=AdpJHsIJm-eVFoi5lATApiO-x53r_EmhyUvrEuCqGIrklg6DOYupZF-acdyzEVK5N1Y&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=Mp6p7lFOAQ0w6gkVZzugrg&_nc_ss=7b2a8&oh=00_AQJNrrXyaecp2AU0wSm58API5HHj-bYNxbBfqY1CinRjow&oe=6ABCA8FD,Dallas pinball,2026-09-25T19:34:40+00:00,2026-09-25T19:34:40+00:00
1643811613803981,“Alive!” Pinball Machine,300,$300,300,"Houston, TX",facebook,3,+3 phrase:pinball machine,2026-09-25,Listed 4 hours ago,G5zjW-MLe7k,Alive,Brunswick,1978,ss,https://www.facebook.com/marketplace/item/1643811613803981/,https://pinside.com/pinball/machine?query=%E2%80%9CAlive%21%E2%80%9D+Pinball+Machine,https://scontent-hou1-1.xx.fbcdn.net/v/t39.84726-6/824223166_28736224969306601_6069115588002728169_n.jpg?stp=c0.87.526.526a_dst-jpg_p526x395_tt6&_nc_cat=104&ccb=1-7&_nc_sid=92e707&_nc_ohc=zfnf2OfZLDAQ7kNvwFwyX0v&_nc_oc=Ado4aSJqnxqfgU7wKxjte0l5KTGsaf-w0XaEYDFR3MMN-W_Tk0NzBKmL6zh7oQlsPO4&_nc_zt=14&_nc_ht=scontent-hou1-1.xx&_nc_gid=WKLgydbHN24nmpsQzbZ8Vw&_nc_ss=7b2a8&oh=00_AQI-AtUF_f5XR1AL5m7JxqwT7nlzttiE6YRCzHxIj27PYA&oe=6ABCB307,Fort Worth pinball,2026-09-25T19:34:40+00:00,2026-09-25T19:34:40+00:00
pinside-221839,Time Machine,3900,"$3,900",3900,"Lake Saint Louis, MO",pinside,-5,-5 no pinball reference,2026-09-25,"3,900 (OBO) Machine - For Sale Lake Saint Louis, MO",GR99Y-MJ9Zy,Time Machine,Data East,1988,ss,https://pinside.com/pinball/market/classifieds/ad/221839,https://pinside.com/pinball/machine?query=Time+Machine,,Pinside Classifieds,2026-09-25T07:50:15+00:00,2026-09-26T18:01:08+00:00
pinside-221841,Fused Bridge rectifier and large capacitor replacement,,,,"Little Elm, TX",pinside,-5,-5 no pinball reference,2026-09-25,"Parts - For Sale Little Elm, TX",,,,,,https://pinside.com/pinball/market/classifieds/ad/221841,https://pinside.com/pinball/machine?query=Fused+Bridge+rectifier+and+large+capacitor+replacement,,Pinside Classifieds,2026-09-25T07:50:15+00:00,2026-09-25T19:35:29+00:00
pinside-221819,Cirqus Voltaire: Scrolls,,,,"Austin, TX",pinside,-5,-5 no pinball reference,2026-09-25,"Mod - For Sale Austin, TX",GRVjJ-MLq7W,Cirqus Voltaire,Bally,1997,ss,https://pinside.com/pinball/market/classifieds/ad/221819,https://pinside.com/pinball/machine?query=Cirqus+Voltaire%3A+Scrolls,,Pinside Classifieds,2026-09-25T07:50:15+00:00,2026-09-25T07:50:15+00:00
